WW,2tag,4pjet,150_250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqZllH125,2tag,4pjet,150_250ptv,0.30124977,0.79464243,-4.35654031,5.01119461,-0.76740526
ggZllH125,2tag,4pjet,150_250ptv,-15.98854201,65.47174208,-99.61776636,67.10192334,-16.01031745
qqWlvH125,2tag,4pjet,150_250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqZllH125cc,2tag,4pjet,250ptv,-5.65212368,19.84826928,-26.16551619,15.40176683,-2.40033572
ggZvvH125cc,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqWlvH125cc,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqZvvH125cc,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ggZllH125cc,2tag,4pjet,250ptv,4.43172754,-7.97720820,-0.46459379,7.13744136,-2.06089613
ttbar,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
stops,2tag,4pjet,250ptv,4.43172754,-7.97720820,-0.46459379,7.13744136,-2.06089613
stopt,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
stopWt,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
stopWtDilep,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wl,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wcl,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wcc,2tag,4pjet,250ptv,4.43172754,-7.97720820,-0.46459379,7.13744136,-2.06089613
Wbl,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wbc,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wbb,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Zl,2tag,4pjet,250ptv,-52.03431721,188.55018494,-248.24651331,140.06624890,-27.70180094
Zcl,2tag,4pjet,250ptv,46.32841100,-150.13973587,174.07714139,-85.70337607,15.91285353
Zcc,2tag,4pjet,250ptv,-31.10878353,105.74510156,-130.33236056,69.63629382,-12.91340785
Zbl,2tag,4pjet,250ptv,126.63749424,-448.71375838,578.82676798,-321.26878732,65.44565888
Zbc,2tag,4pjet,250ptv,-89.75052323,307.06052998,-376.01704670,194.20715153,-34.86411627
Zbb,2tag,4pjet,250ptv,-45.69238230,148.05141189,-166.75041376,75.06905338,-9.85594819
ZZ,2tag,4pjet,250ptv,194.32490720,-626.36663272,733.39358998,-369.58630871,68.96642111
WZ,2tag,4pjet,250ptv,-31.09376634,82.20620065,-71.33785557,23.41368776,-1.70434127
WW,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqZllH125,2tag,4pjet,250ptv,2.74890519,-6.36840310,3.20426430,1.01244680,0.31453810
ggZllH125,2tag,4pjet,250ptv,75.44340027,-239.83024725,271.37722367,-129.93479251,23.73508810
qqWlvH125,2tag,4pjet,250ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqZllH125cc,1tag,4pjet,75_150ptv,0.06463853,-0.40899779,0.88579512,-0.72651348,1.12932962
ggZvvH125cc,1tag,4pjet,75_150ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
qqWlvH125cc,1tag,4pjet,75_150ptv,6.73121600,-33.38146375,60.19222102,-45.98354490,12.99477074
qqZvvH125cc,1tag,4pjet,75_150ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
ggZllH125cc,1tag,4pjet,75_150ptv,-0.06865482,0.40754752,-0.89109333,0.82110304,0.74280789
ttbar,1tag,4pjet,75_150ptv,0.14989211,-0.70281572,1.15407613,-0.79351218,1.13937020
stops,1tag,4pjet,75_150ptv,0.14989211,-0.70281572,1.15407613,-0.79351218,1.13937020
stopt,1tag,4pjet,75_150ptv,0.14989211,-0.70281572,1.15407613,-0.79351218,1.13937020
stopWt,1tag,4pjet,75_150ptv,0.33507673,-2.12194137,4.50115204,-3.67625747,1.82446877
stopWtDilep,1tag,4pjet,75_150ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Wl,1tag,4pjet,75_150ptv,-6.05163824,30.91088243,-55.07444216,39.60103185,-8.96537274
Wcl,1tag,4pjet,75_150ptv,-4.65828742,21.48958482,-33.22368848,19.58154682,-3.05875130
Wcc,1tag,4pjet,75_150ptv,-21.04275104,115.27074154,-223.67565810,181.16156453,-48.74157911
Wbl,1tag,4pjet,75_150ptv,4.70662300,-22.02637442,38.19393587,-29.54443035,9.48835739
Wbc,1tag,4pjet,75_150ptv,-615.66516587,4476.63513326,-12091.49704538,14359.59916889,-6314.48436146
Wbb,1tag,4pjet,75_150ptv,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Zl,1tag,4pjet,75_150ptv,-0.07221384,0.26036113,-0.14179869,-0.21414822,1.03023644
Zcl,1tag,4pjet,75_150ptv,-0.26792135,1.57872326,-3.32116264,2.92378979,0.00131375
Zcc,1tag,4pjet,75_150ptv,0.71887678,-3.76798256,6.83825539,-4.87746824,2.02952697
Zbl,1tag,4pjet,75_150ptv,-0.24829547,1.33598806,-2.54151328,2.03389126,0.33091658
Zbc,1tag,4pjet,75_150ptv,-0.53758777,2.79090812,-5.16311055,4.12049475,-0.39098371
Zbb,1tag,4pjet,75_150ptv,0.40849330,-2.26892598,4.40962943,-3.48301584,1.90728780
ZZ,1tag,4pjet,75_150ptv,0.24184659,-1.00535785,1.23247385,-0.30544729,0.82415384
WZ,1tag,4pjet,75_150ptv,-0.10327881,0.69388438,-1.64045978,1.60555243,0.43467703
WW,1tag,4pjet,75_150ptv,-78.77382892,60.25198442,556.01784153,-1035.01306656,497.69642479
qqZllH125,1tag,4pjet,75_150ptv,0.09158982,-0.50823449,0.95241790,-0.68892027,1.10037523
ggZllH125,1tag,4pjet,75_150ptv,0.30589611,-1.51515461,2.68853178,-2.01633792,1.49663417
qqWlvH125,1tag,4pjet,75_150ptv,17.51873774,-75.95920242,120.64339296,-83.11648102,21.33848065
qqZllH125cc,1tag,4pjet,150_250ptv,0.88761829,-3.51753663,4.96148276,-2.87109018,1.53538548
